"Platform","Offer","Country","Ad Title","Revenue Prediction","Leads","Revenue Per Lead","Top 10 Keywords"
"facebook","Pools PR","US","pools",15455.80797,41779,0.3699420276,"Pool Sizes And Prices, Pool Prices, Above Ground Pools Online, Inflatable Pools, Inflatable Swimming Pool, Pool Prices,Pool Sizes And Prices, Pool Sizes And Prices,Pool Prices, Fiberglass Swimming Pools, Pool Sizes And Prices,Above Ground Pools Online, Above Ground Pools Online,Pool Sizes And Prices"
"tiktok","Online & Digital Marketing PR","US","online digital marketing for beginners",15440.24658,19309,0.7996398869,"Product Advertising, Digital Marketing Online Advertising, Product Marketing, Product Advertisement, Online Marketing, product advertising, Digital Marketing, Product Advertising,Product Marketing, Digital Marketing Online Advertising,Product Advertising, Product Advertising,Digital Marketing Online Advertising"
"tiktok","Personal Loans PR","JP","personal loans for you",15427.28767,20051,0.7694024074,"必ず通るカード, 今すぐお金が必要即日, 査定なしローン, 借入急ぎ, 緊急 生活 応援 融資, 収入証明書なしお金借りる, キャッシング審査優しい, 審査簡単キャッシング, 今お金借りる, 審査落ちても借りれる"
"tiktok","Email Marketing PR","US","email marketing",15062.04049,15599,0.9655773123,"Email Marketing, Digital Marketing Agency, Digital Marketing Online Advertising, Sender Email Marketing, Emailing Services, B2b Digital Marketing, Email Marketing Agency, email marketing, Email Marketing Company, Email Marketing for Beginners"
"tiktok","Pools PR","US","pools creatives",15011.4375,44924,0.3341518453,"Pool Sizes And Prices, Pool Prices, Inflatable Pools, Above Ground Pools Online, Plunge Pool Prices Nsw, Inflatable Pool, 15x30 Oval Pools, Outdoor Pool, Backyard Pools United States, Pool Sizes And Prices,Pool Prices"
"taboola","Prefabricated Homes PR","DE","polnische mini-fertighäuser 60 qm für senioren mit toilette und bad (schau mal)",15005.78152,110275,0.1360760056,"Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024, Schlüsselfertiges Haus 60000 Euro, Polnische Fertighäuser Holzhäuser, Fertighäuser Bungalow 60 Qm Für Senioren, Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024,Schlüsselfertiges Haus 60000 Euro, Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024,Fertighäuser Bungalow 60 Qm Für Senioren, Schlüsselfertiges Haus 60000 Euro,Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024, Fertighäuser Bungalow 60 Qm Für Senioren,Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024, Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024,Polnische Fertighäuser Holzhäuser, Polnische Fertighäuser Holzhäuser,Fertighäuser Bungalow 60 Qm Für Senioren Deutschland 2024"
"website-gdnnative","Ovarian Cancer Treatment PR","US","ovarian cancer treatment",14942.07692,15373,0.9719688365,"Her2 Metastatic Breast Cancer Treatment, Treatment Center Nearby, Breast Cancer Medications, Recovery Facilities Near Me, Advanced Prostate Cancer Resources, Breast Cancer Treatment for Women, Botox Sale, Migraine Therapy Near Me, Therapy Center Nearby, Treatment Centers Drug"
"mgid","Cancer Treatment PR","US","first signs of bladder cancer that many females tend to ignore",14941.61905,33113,0.4512312097,"Trodelvy Bladder Cancer Symptoms And Treatment, What Is Trodelvy Bladder Cancer, Cancer Symptoms, Trodelvy Bladder Cancer Treatment For Seniors, Cancer Symptoms,Trodelvy Bladder Cancer Symptoms And Treatment, Trodelvy Bladder Cancer Symptoms And Treatment,What Is Trodelvy Bladder Cancer, What Is Trodelvy Bladder Cancer,Trodelvy Bladder Cancer Symptoms And Treatment, Trodelvy Bladder Cancer Symptoms And Treatment,Cancer Symptoms, Trodelvy Bladder Cancer, Trodelvy Bladder Cancer Symptoms And Treatment,Trodelvy Bladder Cancer Treatment For Seniors"
"facebook","Hair Restoration PR","ES","restauración del cabello",14862.48101,23797,0.6245527173,"Cirugia de Pechos Caidos, Operacion Aumento de Pecho, Implantes Capilares Cerca De Mí, Cirugias para Reducir el Estomago, Trasplante De Cabello Cerca De Mí, Cirugia de Pechos Caidos,Operacion Aumento de Pecho, Simulador de Aumento de Senos, Liposucción de Abdomen, Clínicas de Trasplante Capilar, Cirugia de Pechos Caidos,Cirugias para Reducir el Estomago"
"facebook","Real Estate PR","BR","credito imovel proprio",14861.83228,58371,0.2546098624,"Consorcio para Casa Própria, Compra Primeira Casa, Compra Primeira Casa,Consorcio para Casa Própria, Consorcio para Casa Própria,Compra Primeira Casa, Imoveis Para Moradores De São Paulo, Imoveis Para Moradores De Salvador, Imoveis Para Moradores De Rio De Janeiro, Imoveis Para Moradores De Manaus, Imoveis Para Moradores De Belo Horizonte, Imoveis Para Moradores De Fortaleza"
"mgid","Chrons Disease Symptoms PR","US","crohn's disease: early symptoms (click here to view)",14040.58537,29596,0.4744082094,"Crohn's Disease Pictures, Crohn's Symptoms in Women, Early Crohns, Crohn's Disease Pictures,Crohn's Symptoms in Women, Active Crohns, Crohn's Symptoms in Women,Crohn's Disease Pictures, Crohn's Symptoms In Women, Plaque Psoriasis Videos, Early Crohns,Crohn's Disease Pictures, Crohn's Disease Pictures,Early Crohns"
"website-adwords","Online Jobs PR","PK","unlocking opportunity: navigating the world of online jobs",13604.54795,100442,0.1354468046,"Entry Level It Jobs Mexico, Virtual Healthcare Assistant Jobs Nassau, Data Jobs For Individuals Mexico, Virtual Healthcare Assistant Jobs Bahamas, Travel Consultant Jobs Bahamas, Entry Level It Jobs Mexico,Data Jobs For Individuals Mexico, Data Jobs For Individuals Mexico,Entry Level It Jobs Mexico, Entry Level It Jobs Mexico,Virtual Healthcare Assistant Jobs Nassau, Virtual Healthcare Assistant Jobs Nassau,Entry Level It Jobs Mexico, طلبا,Entry Level It Jobs Mexico"
"facebook","Tires PR","US","tires",13503.94357,28173,0.4793221727,"4 New Tires Offers, Truck Tires, Tire Size, 4 New Tires $99, All Terrain Tires - Cheap A/t Tires For Sale, Car Tires, Discount Tires, Discounted Truck Tires, 4 New Tires Offers,Truck Tires, Oferta 4 Neumaticos - 4 New Tire Offers Near Me In Estados Unidos Florida"
"facebook","Online Courses & Classes PR","DE","onlinecourses",13342.93976,22013,0.6061390887,"Online Kurse mit Zertifikat Kostenlos, Online Studium Ohne Präsenz, Berufliche Weiterbildung Online, Psychologie Bachelor Fernstudium, Soziale Arbeit Studium Fernstudium, Psychologie Ohne Nc Studieren, Online Studium Ohne Präsenz,Online Kurse mit Zertifikat Kostenlos, Online Kurse mit Zertifikat Kostenlos,Online Studium Ohne Präsenz, Angewandte Psychologie Ohne Abitur, Bildungsgutschein Data Analyst"
"tiktok","Digital Marketing Courses PR","DE","digital marketing courses",13256.40617,12542,1.056961105,"Digital Marketing, Agentur für Social Media Marketing, Social Media Marketing Bildungsgutschein, Agentur für Digital Marketing, Online Marketing Agentur Hamburg, Online Marketing Agentur Deutschland, Digital Marketing Online Course, Online Marketing Agentur Berlin, Online Marketing, Onlineshop Marketing Agentur"
"facebook","Depression Treatment PR","US","depression treatment",13250.69463,18231,0.726822151,"Counseling Services, Therapist Near Me California, Therapist Near Me Florida, Depression Treatment Near Me, Depression And Anxiety Therapy Treatment Centers In Houston, Depression And Anxiety Therapy Treatment Centers In Los Angeles, Therapist Near Me New Jersey, Therapist Near Me Texas, Therapist Near Me New York, Therapist Near Me North Carolina"
"tiktok","Laser Face Lift PR","US","us laser face lift",13195.90411,11530,1.144484311,"Find Juvederm, Juvederm Voluma Cost Near Me, Laser Treatment For Face Lift, Juvederm Voluma Specials Near Me, Medical Practice Ehr, Face Lift Surgery, Walk in Dentist Open Now, Affordable Denture Implant, Laser Face Lift, Fat Removal Surgery"
"website-facebook","Dental Implants PR","US","implant dentists",13128.69,12247,1.071992325,"Best Dental Implants In My Area, Dental Implants In Texas, Dental Implants In Florida, Dental Implants In California, Same Day Implant Dentist Near Me, Dental Implants Near Me Low Cost, Dental Implants In Colorado, I Need Dental Implants Near Me Fast, Dental Implants In New York, Dental Implants In Arizona"
"mgid","Diarrhoea Treatment PR","US","crohn's disease - usual symptoms (click here to take a look)",12930.07317,28279,0.4572323339,"Crohn's Disease Pictures, Crohn's Symptoms in Women, Active Crohns, Crohn's Symptoms In Women, Crohn's Symptoms in Women,Crohn's Disease Pictures, Crohn's Disease Pictures,Crohn's Symptoms in Women, Plaque Psoriasis Videos, Video Ulcerative Colitis, Crohn's Disease Symptoms in Women, Crohn's Disease Pictures,Active Crohns"
"facebook","Credit Cards PR","IT","l'approvazione della carta di credito può richiedere appena 60 secondi. potete fare domanda anche se avete una cattiva storia creditizia!",12719.19481,30416,0.4181744741,"Carta Con Fido Immediato, Carta Di Credito Senza Busta Paga, Carta Di Credito 1500 Euro, Carta Di Credito Veloce Da Ottenere, Carta Con Fido Immediato,Carta Di Credito Senza Busta Paga, Carta Di Credito Senza Busta Paga,Carta Con Fido Immediato, Carta Con Fido Immediato,Carta Di Credito 1500 Euro, Carta Di Credito 1500 Euro,Carta Con Fido Immediato, Carta Di Credito Veloce Da Ottenere,Carta Con Fido Immediato, Carta Con Fido Immediato,Carta Di Credito Veloce Da Ottenere"
"tiktok","Digital Marketing Courses PR","FR","démarrer à générer des revenus avec nous",12607.75342,16369,0.770221359,"Marketing Digital Débutant, Marketing Digital France, Marketing Digital Paris, Master Marketing Numérique, Marketing Digital France,Marketing Digital Débutant, marketing digital débutant, Marketing Digital Débutant,Marketing Digital France, Mail Masse Gratuit, Formation Informatique Gratuit, marketing digital france"
"facebook","Home Renovation PR","US","home renovations companies",12370.6962,2183,5.666832892,"Find Home Remodeling Companies In {region}, Find Home Renovation Experts Near Me, Cheap Home Remodeling Ideas In {region}, find home renovation experts near me, Find Home Remodeling Companies In Atlanta, Find Home Remodeling Companies In Houston, Find Home Remodeling Companies In Chicago, Find Home Remodeling Companies In Columbia, find home remodeling companies in {region}, Find Home Remodeling Companies In Philadelphia"
"facebook","Custom Paint by Numbers PR","US","kohls custom size  printing 4imprint prices 2024",12313.4,11081,1.111217399,"Kohls Custom Size Printing 4imprint Prices 2024, Kohls Custom Size Printing 4imprint Prices 2024 United States, Kohls Custom Size Printing 4imprint Prices 2024 In Texas, Kohls Custom Size Printing 4imprint Prices 2024 In New York, Kohls Custom Size Printing 4imprint Prices 2024 In California, Kohls Custom Size Printing 4imprint Prices 2024 In Ohio, Kohls Custom Size Printing 4imprint Prices 2024 In Miami, Kohls Custom Size Printing 4imprint Prices 2024 In Florida, Kohls Custom Size Printing 4imprint Prices 2024 In Pennsylvania, Kohls Custom Size Printing 4imprint Prices 2024 In New Jersey"
"facebook","Hair Restoration PR","DE","haarwiederherstellung",11995.73418,11997,0.9998944884,"Türkische Haartransplantation, Kosten Für Eine Haartransplantation In Der Türkei, Haartransplantation Klinik, Türkische Haartransplantation,Kosten Für Eine Haartransplantation In Der Türkei, Hair Graft, Haartransplantation In Meiner Nähe, Kosten Für Eine Haartransplantation, Kosten Für Eine Haartransplantation In Der Türkei,Türkische Haartransplantation, Haartransplantation, Haare Einpflanzen"
"facebook","Window Repair PR","US","windows repair",11961.55696,1079,11.08578032,"Windows Renovation In {city, Window Contractors Near Me, Cheap Quotes For Windows Repair In {region}, Get Quotes For Windows Replacement In Houston, Get Quotes For Windows Replacement In New York, Get Quotes For Windows Replacement In Stafford, Get Quotes For Windows Replacement In Katy, Get Quotes For Windows Replacement In Oviedo, Get Quotes For Windows Replacement In Brooklyn, Get Quotes For Windows Replacement In Seattle"
"facebook","Warehouse Inventory PR","DE","entrumpelung",11870.2,22837,0.5197793055,"Warenwirtschaft Lager, Lager Kommissionierung, Optimierung Der Lagerlogistik, Entrümpelung & Haushaltsauflösung In Berlin, Entrümpelung & Haushaltsauflösung In Hamburg, Entrümpelung & Haushaltsauflösung In Frankfurt Am Main, Industrie Lager Regal, Entrümpelung & Haushaltsauflösung In Берлин, Entrümpelung & Haushaltsauflösung In Stuttgart, Entrümpelung & Haushaltsauflösung In Köln"
"facebook","Online & Digital Marketing Degree PR","FR","digital+marketing+business",11659.8481,11246,1.036799582,"Ecoles de Management, Master Marketing en Alternance, Master Finance en Ligne, École Data, Bts en Ecole de Commerce, Formation Secretaire Medicale Cpf, Les Écoles de Formation, Banque Professionnel en Ligne, Master Alternance Finance, Licence Ecole de Commerce"
"tiktok","Orthodontist PR","ES","orthodontist",11489.09639,19913,0.5769646154,"Dentista Mas Cerca de Mi, Arreglar Mis Dientes Cerca De Mí, Clinicas Dentales Baratas, Implantes Dentales Cerca De Mi, Clinica Dentaria Implantes, Dentista Barato y Bueno, Implantes Dentales Baratos, Implantes Dentales Asequibles, Dentista Cerca de Mi Ubicación, Ortodoncista En Barcelona"
"facebook","Packing Jobs PR","DE","arbeit von zu hause",11462.17808,43673,0.2624545619,"Arbeit Von Zu Hause, Packing Jobs, Offene Stellen, Packer Job, Arbeit Von Zu Hause,Online Jobs Von Zuhause, Offene Stellen,Packing Jobs, Packing Jobs,Offene Stellen, Online Jobs Von Zuhause,Arbeit Von Zu Hause, Packing Jobs,Packer Job, Online Jobs Von Zuhause"
"facebook","Mental Health PR","BR","search here for mental health",11068.09412,171889,0.064390939,"Especialização Em Saude Mental, Especialização Saude Mental, Sáude Mental, Saude Mental e Ansiedade, Especialização Em Saude Mental,Sáude Mental, Sáude Mental,Especialização Em Saude Mental, Especialização Em Saude Mental,Saude Mental e Ansiedade, Saude Mental e Ansiedade,Especialização Em Saude Mental, Especialização Em Saude Mental,Especialização Saude Mental, Especialização Saude Mental,Especialização Em Saude Mental"
"tiktok","Apartments For Rent PR","ES","seguro piso alquiler",11060.35771,22372,0.4943839489,"Seguro Piso Alquiler España, Seguro Piso Alquiler Madrid, Pisos en Alquiler Cerca de Mi, Seguro Piso Alquiler Barcelona, Pisos en Alquiler, Pisos para Alquilar, Seguro Piso Alquiler Valencia, Seguro Piso Alquiler Málaga, Seguro Alquiler Piso, Seguro Piso Alquiler Palma"
"facebook","Retirement Plans PR","US","retirement plan",11033.2625,27195,0.4057092296,"Retirement Plan, Retirement Pension, Pension Calculator, Retirement Money, Retirement Benefits, Retirement Plan,Retirement Pension, Retirement Pension,Retirement Plan, retirement plan, Retirement Plan,Pension Calculator, Pensions"
"facebook","Roofing Services PR","US","roofing-services",11033.0411,15496,0.711992843,"Roofer Find, roofer find, Foundation Repair in My Area, Find Roofer, Metal Roofing Prices,Roofer Find Pittsburgh, Roofing Repairs, Roofer Find Rochester, Roofer Find Madison, Roofer Find Topeka, Roofer Find United States"
"facebook","Online Courses & Classes PR","ZA","onlinecourses",10996.42245,91891,0.1196681117,"Courses and Certificates Online, Education Courses, Computer Courses, Management Courses, Online School, Western Governors Nursing Program, Short Courses, Computer Course, Construction Management Cert, Management Training Courses"
"facebook","Lift Chairs PR","GB","lift chairs",10886.86301,12893,0.8444010714,"Lift And Tilt Chairs, Recliner for Elderly Person, Age UK Chair Lifts, Recliner for Elderly Person,Lift And Tilt Chairs, Mobility Recliner Chairs, Lift And Tilt Chairs,Recliner for Elderly Person, Get a Stairlift on the Nhs, Recliner Chair for Elderly, Age UK Chair Lifts,Lift And Tilt Chairs, Lift And Tilt Chairs,Age UK Chair Lifts"
"facebook","Bathroom Remodeling PR","US","bathroom remodelling",10860.46835,1052,10.32363912,"Find Bath Remodeling Experts Near Me, Cheap Quotes For Bathroom Renovation In {region}, Get Quotes For Bathroom Remodeling In Brooklyn, Get Quotes For Bathroom Remodeling In Houston, Get Quotes For Bathroom Remodeling In Queens, Get Quotes For Bathroom Remodeling In Washington, Get Quotes For Bathroom Remodeling In Richmond, Get Quotes For Bathroom Remodeling In Atlanta, Get Quotes For Bathroom Remodeling In Los Angeles, Get Quotes For Bathroom Remodeling In Philadelphia"
